Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Andy Dalton,2566,7.0,365,226,0.619,21,11,89.6,132,0.362,38,1,49,21,157
Marcus Mariota,2528,7.6,331,228,0.689,11,8,92.3,121,0.366,31,5,61,42,243
Joe Flacco,2465,6.5,379,232,0.612,12,6,84.2,122,0.322,29,4,71,16,79
Ryan Fitzpatrick,2366,9.6,246,164,0.667,17,12,100.4,113,0.459,37,8,75,14,76
Josh Rosen,2278,5.8,393,217,0.552,11,14,66.7,112,0.285,23,4,75,45,320
Nick Mullens,2277,8.3,274,176,0.642,13,10,90.8,106,0.387,35,7,85,17,127
Alex Smith,2180,6.6,328,205,0.625,10,5,85.7,106,0.323,28,4,52,22,121
Josh Allen,2074,6.5,320,169,0.528,10,12,67.9,89,0.278,30,5,75,28,213
Ryan Tannehill,1979,7.2,274,176,0.642,17,9,92.7,92,0.336,19,5,75,35,279
Nick Foles,1413,7.2,195,141,0.723,7,4,96.0,60,0.308,14,4,83,9,47
C.J. Beathard,1252,7.4,169,102,0.604,8,7,81.8,60,0.355,17,4,82,18,156
Brock Osweiler,1247,7.0,178,113,0.635,6,4,86.0,58,0.326,13,3,75,17,130
Lamar Jackson,1201,7.1,170,99,0.582,6,3,84.5,60,0.353,13,2,74,16,71
Jeff Driskel,1003,5.7,176,105,0.597,6,2,82.2,50,0.284,15,0,37,16,122
Jimmy Garoppolo,718,8.1,89,53,0.596,5,3,90.0,35,0.393,9,1,56,13,97
Cody Kessler,709,5.4,131,85,0.649,2,2,77.4,35,0.267,5,0,35,22,149
Blaine Gabbert,626,6.2,101,61,0.604,4,4,74.9,32,0.317,4,0,35,5,37
Josh Johnson,590,6.5,91,52,0.571,3,4,69.4,29,0.319,7,1,79,9,67
Josh McCown,539,4.9,110,60,0.545,1,4,55.8,27,0.245,4,1,41,7,35
Chase Daniel,515,6.8,76,53,0.697,3,2,90.6,24,0.316,6,1,46,9,40
Tyrod Taylor,473,5.6,85,42,0.494,2,2,64.5,17,0.2,7,1,47,13,81
Derek Anderson,465,6.6,70,42,0.6,0,4,56.0,22,0.314,6,1,40,5,33
Sam Bradford,400,5.0,80,50,0.625,2,4,62.5,16,0.2,6,0,35,6,33
Colt McCoy,372,6.9,54,34,0.63,3,3,78.6,17,0.315,4,1,53,6,36
Taylor Heinicke,320,5.6,57,35,0.614,1,3,60.6,19,0.333,2,0,33,2,17
Nathan Peterman,296,3.7,81,44,0.543,1,7,30.7,13,0.16,3,0,26,7,34
Kyle Allen,266,8.6,31,20,0.645,2,0,113.1,11,0.355,4,1,53,0,0
Matt Barkley,232,9.3,25,15,0.6,2,0,117.4,12,0.48,4,2,47,1,8
DeShone Kizer,187,4.5,42,20,0.476,0,2,40.5,8,0.19,2,0,29,4,38
Mike Glennon,174,8.3,21,15,0.714,1,0,112.0,8,0.381,1,0,26,1,8
Mark Sanchez,138,3.9,35,19,0.543,0,3,28.0,3,0.086,1,0,20,7,42
Teddy Bridgewater,118,5.1,23,14,0.609,1,1,70.6,8,0.348,0,0,18,2,8
Odell Beckham Jr.,106,53.0,2,2,1.0,2,0,158.3,2,1.0,2,2,57,0,0
Kevin Byard,66,66.0,1,1,1.0,1,0,158.3,1,1.0,1,1,66,0,0
Taysom Hill,64,9.1,7,3,0.429,0,1,36.3,3,0.429,1,1,44,1,3
Jarvis Landry,63,31.5,2,1,0.5,0,0,95.8,1,0.5,1,1,63,0,0
Matt Cassel,59,3.5,17,7,0.412,0,1,26.3,2,0.118,0,0,11,1,13
Albert Wilson,52,52.0,1,1,1.0,1,0,158.3,1,1.0,1,1,52,0,0
Christian McCaffrey,50,50.0,1,1,1.0,1,0,158.3,1,1.0,1,1,50,0,0
Julian Edelman,43,21.5,2,2,1.0,0,0,118.8,1,0.5,1,0,37,0,0
Joshua Dobbs,43,3.6,12,6,0.5,0,1,24.0,2,0.167,1,0,22,0,0
Garrett Gilbert,40,13.3,3,2,0.667,0,0,109.7,1,0.333,1,0,31,1,5
Larry Fitzgerald,32,32.0,1,1,1.0,1,0,158.3,1,1.0,1,0,32,0,0
Chad Henne,29,9.7,3,2,0.667,0,0,97.9,2,0.667,1,0,22,0,0
Emmanuel Sanders,28,28.0,1,1,1.0,1,0,158.3,1,1.0,1,0,28,0,0
Danny Amendola,28,28.0,1,1,1.0,1,0,158.3,1,1.0,1,0,28,0,0
Sean Mannion,23,7.7,3,2,0.667,0,0,89.6,1,0.333,0,0,18,0,0
Nate Sudfeld,22,11.0,2,1,0.5,1,0,129.2,1,0.5,1,0,22,0,0
Sam Koch,21,21.0,1,1,1.0,0,0,118.8,1,1.0,1,0,21,0,0
Darius Jennings,21,21.0,1,1,1.0,0,0,118.8,1,1.0,1,0,21,0,0
Robert Griffin III,21,3.5,6,2,0.333,0,0,44.4,1,0.167,0,0,14,0,0
Matt Schaub,20,2.9,7,5,0.714,0,0,74.1,1,0.143,0,0,9,0,0
Johnny Hekker,19,4.8,4,2,0.5,0,0,63.5,2,0.5,0,0,12,0,0
Logan Thomas,15,15.0,1,1,1.0,0,0,118.8,1,1.0,0,0,15,0,0
Nelson Agholor,15,15.0,1,1,1.0,0,0,118.8,1,1.0,0,0,15,0,0
Derrick Henry,14,4.7,3,2,0.667,0,0,77.1,1,0.333,0,0,8,0,0
Colby Wadman,12,12.0,1,1,1.0,0,0,116.7,1,1.0,0,0,12,0,0
Geno Smith,8,2.0,4,1,0.25,0,0,39.6,0,0.0,0,0,8,1,16
Matt Prater,8,8.0,1,1,1.0,1,0,139.6,1,1.0,0,0,8,0,0
Anthony Miller,8,8.0,1,1,1.0,0,0,100.0,1,1.0,0,0,8,0,0
AJ McCarron,8,2.7,3,1,0.333,0,0,42.4,0,0.0,0,0,8,1,7
Tress Way,7,7.0,1,1,1.0,0,0,95.8,1,1.0,0,0,7,0,0
Brian Hoyer,7,3.5,2,1,0.5,0,0,58.3,0,0.0,0,0,7,0,0
Mohamed Sanu,5,2.5,2,1,0.5,1,0,95.8,1,0.5,0,0,5,0,0
Logan Cooke,4,4.0,1,1,1.0,0,0,83.3,1,1.0,0,0,4,0,0
Kenny Stills,3,3.0,1,1,1.0,1,0,118.8,1,1.0,0,0,3,0,0
Jacoby Brissett,2,0.5,4,2,0.5,0,0,56.3,1,0.25,0,0,4,0,0
Chris Boswell,2,2.0,1,1,1.0,1,0,118.8,1,1.0,0,0,2,0,0
Tarik Cohen,1,1.0,1,1,1.0,1,0,118.8,1,1.0,0,0,1,0,0
