Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Tyrod Taylor,208,6.9,30,16,0.533,0,0,75.4,10,0.333,3,0,37,2,1
Matt Barkley,197,9.4,21,11,0.524,1,1,80.9,9,0.429,3,2,56,1,7
Ryan Finley,164,5.1,32,17,0.531,1,2,52.1,8,0.25,2,0,30,9,63
Blaine Gabbert,143,8.9,16,9,0.563,2,0,125.8,5,0.313,4,0,35,1,7
Taylor Heinicke,137,7.2,19,12,0.632,1,0,102.3,6,0.316,2,0,29,1,7
Brian Hoyer,130,5.4,24,15,0.625,0,1,59.4,8,0.333,1,0,25,2,18
Chris Streveler,105,6.6,16,11,0.688,1,1,81.5,5,0.313,0,0,19,2,10
Trace McSorley,90,9.0,10,3,0.3,1,0,97.9,2,0.2,1,1,70,0,0
Jameis Winston,75,6.8,11,7,0.636,0,0,83.5,5,0.455,0,0,19,2,11
Jarvis Landry,74,18.5,4,4,1.0,1,0,158.3,4,1.0,1,0,37,0,0
David Blough,49,4.9,10,6,0.6,0,1,32.9,1,0.1,1,0,20,1,10
Case Keenum,46,4.6,10,5,0.5,0,0,62.9,2,0.2,1,0,24,0,0
Jakobi Meyers,43,21.5,2,2,1.0,2,0,158.3,2,1.0,1,0,24,0,0
Jamison Crowder,43,43.0,1,1,1.0,1,0,158.3,1,1.0,1,1,43,0,0
Robert Griffin III,42,3.0,14,8,0.571,0,2,22.6,1,0.071,0,0,9,3,20
Russell Gage,39,19.5,2,1,0.5,1,0,135.4,1,0.5,1,0,39,0,0
Julian Edelman,38,19.0,2,2,1.0,0,0,118.8,2,1.0,1,0,22,0,0
Geno Smith,33,6.6,5,4,0.8,0,0,94.2,3,0.6,0,0,14,1,3
Nate Sudfeld,32,2.7,12,5,0.417,0,1,14.6,1,0.083,0,0,10,2,16
Lynn Bowden,32,16.0,2,1,0.5,0,0,95.8,1,0.5,1,0,32,0,0
Zay Jones,29,29.0,1,1,1.0,0,0,118.8,1,1.0,1,0,29,0,0
Logan Thomas,28,28.0,1,1,1.0,0,0,118.8,1,1.0,1,0,28,0,0
Joseph Charlton,28,28.0,1,1,1.0,0,0,118.8,1,1.0,1,0,28,0,0
Andy Lee,26,26.0,1,1,1.0,0,0,118.8,1,1.0,1,0,26,0,0
Nathan Peterman,25,5.0,5,3,0.6,0,0,72.9,1,0.2,0,0,12,2,16
Ced Wilson,23,11.5,2,2,1.0,1,0,154.2,1,0.5,0,0,12,0,0
AJ McCarron,20,20.0,1,1,1.0,0,0,118.8,1,1.0,1,0,20,1,12
Cole Beasley,20,20.0,1,1,1.0,1,0,158.3,1,1.0,1,0,20,0,0
Golden Tate,18,18.0,1,1,1.0,0,0,118.8,1,1.0,0,0,18,0,0
Tyler Bray,18,3.6,5,1,0.2,0,0,42.1,1,0.2,0,0,18,0,0
Odell Beckham Jr.,18,18.0,1,1,1.0,0,0,118.8,1,1.0,0,0,18,0,0
Jacoby Brissett,17,4.3,4,2,0.5,0,0,61.5,1,0.25,0,0,13,1,6
Tyler Boyd,16,16.0,1,1,1.0,0,0,118.8,1,1.0,0,0,16,0,0
Greg Ward,15,15.0,1,1,1.0,0,0,118.8,1,1.0,0,0,15,0,0
Sam Koch,15,15.0,1,1,1.0,0,0,118.8,1,1.0,0,0,15,0,0
Tyler Huntley,15,3.0,5,3,0.6,0,0,64.6,0,0.0,0,0,8,0,0
Tommy Townsend,13,13.0,1,1,1.0,0,0,118.8,1,1.0,0,0,13,0,0
Jaquan Johnson,13,13.0,1,1,1.0,0,0,118.8,1,1.0,0,0,13,0,0
Kendall Hinton,13,1.4,9,1,0.111,0,2,0.0,1,0.111,0,0,13,1,1
Isaiah McKenzie,12,12.0,1,1,1.0,1,0,156.3,1,1.0,0,0,12,0,0
Logan Woodside,7,7.0,1,1,1.0,0,0,95.8,1,1.0,0,0,7,0,0
Easton Stick,4,4.0,1,1,1.0,0,0,83.3,0,0.0,0,0,4,0,0
Travis Kelce,4,4.0,1,1,1.0,0,0,83.3,1,1.0,0,0,4,0,0
Joshua Dobbs,2,0.4,5,4,0.8,0,0,79.2,0,0.0,0,0,3,0,0
