Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Ryan Tannehill,2742,9.6,286,201,0.703,22,6,117.5,126,0.441,41,9,91,31,212
Matthew Stafford,2499,8.6,291,187,0.643,19,5,106.0,117,0.402,41,8,66,18,137
Joe Flacco,1822,7.0,262,171,0.653,6,5,85.1,86,0.328,24,5,70,26,194
Mason Rudolph,1765,6.2,283,176,0.622,13,9,82.0,80,0.283,21,5,76,15,124
Case Keenum,1707,6.9,247,160,0.648,11,5,91.3,83,0.336,18,3,69,15,145
Teddy Bridgewater,1384,7.1,196,133,0.679,9,2,99.1,67,0.342,16,2,45,12,89
Dwayne Haskins,1365,6.7,203,119,0.586,7,7,76.1,65,0.32,19,3,75,29,204
Marcus Mariota,1203,7.5,160,95,0.594,7,2,92.3,50,0.313,17,6,75,25,162
Devlin Hodges,1063,6.6,160,100,0.625,5,8,71.4,51,0.319,11,2,79,15,102
Eli Manning,1042,7.1,147,91,0.619,6,5,82.6,47,0.32,15,4,55,5,44
Drew Lock,1020,6.5,156,100,0.641,7,3,89.7,54,0.346,13,2,48,5,26
David Blough,984,5.7,174,94,0.54,4,6,64.0,47,0.27,10,4,75,14,104
Nick Foles,736,6.3,117,77,0.658,3,2,84.6,31,0.265,10,0,39,8,60
Jeff Driskel,685,6.5,105,62,0.59,4,4,75.3,31,0.295,9,1,47,11,46
Matt Moore,659,7.2,91,59,0.648,4,0,100.9,35,0.385,9,3,57,8,65
Matt Schaub,580,8.7,67,50,0.746,3,1,109.0,30,0.448,5,0,35,2,19
Cam Newton,572,6.4,89,50,0.562,0,1,71.0,29,0.326,4,2,44,6,43
Josh Rosen,567,5.2,109,58,0.532,1,5,52.0,26,0.239,5,1,40,16,93
Brandon Allen,515,6.1,84,39,0.464,3,2,68.3,20,0.238,8,3,75,9,59
Ryan Finley,474,5.4,87,41,0.471,2,2,62.1,20,0.23,6,1,47,11,93
Chase Daniel,435,6.8,64,45,0.703,3,2,91.6,22,0.344,4,0,37,7,48
Luke Falk,416,5.7,73,47,0.644,0,3,62.4,15,0.205,4,0,36,16,96
Brian Hoyer,372,5.7,65,35,0.538,4,4,65.7,22,0.338,6,0,23,5,47
Matt Barkley,359,7.0,51,27,0.529,0,3,51.0,15,0.294,6,1,41,2,10
Ben Roethlisberger,351,5.7,62,35,0.565,0,1,66.0,14,0.226,4,1,45,2,7
Will Grier,228,4.4,52,28,0.538,0,4,33.2,12,0.231,1,0,28,6,44
AJ McCarron,225,6.1,37,21,0.568,0,1,63.5,11,0.297,4,0,21,5,43
Robert Griffin III,225,5.9,38,23,0.605,1,2,64.0,10,0.263,2,0,39,5,19
Sean Mannion,126,6.0,21,12,0.571,0,2,35.1,6,0.286,1,0,35,0,0
Colt McCoy,122,4.5,27,18,0.667,0,1,61.0,5,0.185,1,0,22,6,44
Mike Glennon,56,5.6,10,6,0.6,1,0,108.8,3,0.3,0,0,19,0,0
Taysom Hill,55,9.2,6,3,0.5,0,0,81.9,3,0.5,1,0,20,1,9
Brett Hundley,49,4.9,10,4,0.4,0,0,55.8,2,0.2,1,0,28,2,11
Julian Edelman,47,23.5,2,2,1.0,1,0,158.3,2,1.0,1,0,32,0,0
Courtland Sutton,38,38.0,1,1,1.0,0,0,118.8,1,1.0,1,0,38,0,0
James White,35,35.0,1,1,1.0,0,0,118.8,1,1.0,1,0,35,0,0
Emmanuel Sanders,35,35.0,1,1,1.0,1,0,158.3,1,1.0,1,0,35,0,0
Jaylen Samuels,35,7.0,5,4,0.8,0,1,56.3,2,0.4,1,0,21,0,0
Tyrod Taylor,33,5.5,6,4,0.667,1,0,120.1,3,0.5,0,0,14,0,0
Johnny Hekker,28,9.3,3,2,0.667,0,1,56.9,2,0.667,1,0,23,0,0
John Brown,28,28.0,1,1,1.0,1,0,158.3,1,1.0,1,0,28,0,0
Andy Lee,26,26.0,1,1,1.0,0,0,118.8,1,1.0,1,0,26,0,0
Alex Erickson,26,26.0,1,1,1.0,0,0,118.8,1,1.0,1,0,26,0,0
Josh McCown,24,4.8,5,3,0.6,0,0,72.1,2,0.4,0,0,13,0,0
Albert Wilson,20,10.0,2,1,0.5,0,0,85.4,1,0.5,1,0,20,1,10
Odell Beckham Jr.,20,10.0,2,1,0.5,0,0,85.4,1,0.5,1,0,20,0,0
Danny Amendola,19,19.0,1,1,1.0,1,0,158.3,1,1.0,0,0,19,0,0
Ryan Griffin,18,4.5,4,2,0.5,0,0,62.5,1,0.25,0,0,13,0,0
Dante Pettis,16,16.0,1,1,1.0,0,0,118.8,1,1.0,0,0,16,0,0
Logan Cooke,16,8.0,2,2,1.0,0,0,100.0,2,1.0,0,0,9,1,19
Tim Boyle,15,3.8,4,3,0.75,0,0,80.2,1,0.25,0,0,7,0,0
Jarrett Stidham,14,3.5,4,2,0.5,0,1,18.8,1,0.25,0,0,11,1,7
Alvin Kamara,13,13.0,1,1,1.0,0,0,118.8,1,1.0,0,0,13,0,0
Michael Palardy,12,12.0,1,1,1.0,0,0,116.7,1,1.0,0,0,12,0,0
Brett Kern,11,11.0,1,1,1.0,0,0,112.5,1,1.0,0,0,11,0,0
Kelvin Harmon,11,11.0,1,1,1.0,0,0,112.5,1,1.0,0,0,11,0,0
DeAndre Hopkins,6,3.0,2,1,0.5,1,1,56.3,1,0.5,0,0,6,0,0
Andrew Beck,6,6.0,1,1,1.0,0,0,91.7,1,1.0,0,0,6,0,0
Trevor Siemian,3,0.5,6,3,0.5,0,0,56.3,0,0.0,0,0,3,2,17
Blake Bortles,3,1.5,2,1,0.5,0,0,56.3,0,0.0,0,0,3,0,0
Kenjon Barner,3,3.0,1,1,1.0,0,0,79.2,0,0.0,0,0,3,0,0
Alex Tanney,1,1.0,1,1,1.0,0,0,79.2,0,0.0,0,0,1,0,0
Matt Haack,1,1.0,1,1,1.0,1,0,118.8,1,1.0,0,0,1,0,0
